"Review","Review_rating"
"Kia Seltos is yet to hit the Indian Roads, but it already promises to be the best in its class. Kia Seltos stunning design and sporty looks are gonna impress the Indian car buyers and will definitely be the best selling car in the market. KIA is offering the latest technology in its car at an affordable price to compete against its rivals. Kia Selt...Read More",5
"Kia Seltos looks Amazingly rugged. The headlights and shoulder line gives a masculine look. Its front grill is oozing with an appeal while the alloy design is awesome.
",5
"Kia Seltos looks brilliant for sure it il rock the SUV segment, with a lot of features. The design is nice in this budget range.
",5
"Kia Seltos is a great Car, the brand has covered every aspect and has done a great job with terms to design, features, interiors. The best part is the pricing which I consider a big plus, as the majority of us are looking for cars which are in the range of 10 lakhs to 15 lakhs. Decent Car, Great Features and Perfect Pricing.
Read More",5
"Kia is a stunning stylishly designed Midsize SUV. At the price that it is offered, it is way better than Audi & BMW. The features offered in KIA are world class and are the latest technology. KIA has done an excellent job in making and launching its first car in the Indian market. KIA Seltos is definitely gonna be the best SUV in its class
Read More",5
"Kia Seltos must be the revolutionary company in the Indian automobile market.
",5
"Kia Seltos is a very good SUV in India, very nice look Exterior and very good design company. It works best. 
",4
"Overall Kia Seltos is looking killer. Best rival in the market for kicks and Creta. Loved the car. Functions and look.
",5
"The car really has elegant looks. It has extraordinary features and specifications with great technology. Kia will truly take the market of the SUV segment.
",4
"This is a nice car. The features are amazing. The looks are great. 
",5
"Everything is just marvellous about this SUV... will capture the market in 2yrs. The exterior is looking compact and stylish.. a fresh feel is there in comparison to Creta which the people have become used to. Kia has done well not going for bigger size like harrier or hector which should make it more fun to drive and economic. Interiors, and featu...Read More",5
"Kia Seltos certainly belongs to a next-gen SUV lineup coming to India. I wonder of how it's body strength, and structural capacity shall place it in the safety and security segment, all the features and design and power is eagerly welcomed, but body strength is of utmost importance.
Read More",4
"The stunning looks will attract the customers and there are all chances of getting a quick hit among the Indians. The safety and comfort are blended proportionately without neglecting aesthetics of compact SUV. The car would set the new standards in the Indian auto industry.
Read More",4
"Mind-blowing car by Kia Motors. This car will capture Indian market.
",5
"The looks of the car are amazing with good ground clearance and great mileage.
",5
"Superb looking car and future excellent color options and the interior was interesting it's better than all his segment Get it into lunch early in this year on roads dashing design super lights cubed like headlights no words to say Kia is fantastic job to create this car amazing future in India 
Read More",5
"I want to buy this car because I love this car. I searched for all those specifications of this car...It has awesome features.
"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.
" 4
"Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressin...Read More" 5
"Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect...Read More" 4
"Best features and look at, best engine performance and my favorite car in 2019.
" 5
"Excellent car in India Low budget me the high class car I love this car & my Dream car, JUST GO FOR THIS VEHICLE BLINDLY. YOU CAN PURCHASE ANY VARIANT DEPENDING UPON YOUR...Read More" 5
"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.
" 4
"Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressin...Read More" 4
"Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect...Read More" 5
"Best features and look at, best engine performance and my favorite car in 2019.
" 5
"Excellent car in India Low budget me the high class car I love this car & my Dream car, JUST GO FOR THIS VEHICLE BLINDLY. YOU CAN PURCHASE ANY VARIANT DEPENDING UPON YOUR...Read More" 5
"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.
" 5
"Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressin...Read More" 5
"Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect...Read More" 5
"Best features and look at, best engine performance and my favorite car in 2019.
" 5
"Excellent car in India Low budget me the high class car I love this car & my Dream car, JUST GO FOR THIS VEHICLE BLINDLY. YOU CAN PURCHASE ANY VARIANT DEPENDING UPON YOUR...Read More" 4
"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.
" 5
"Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressin...Read More" 5
"Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect...Read More" 4
"Best features and look at, best engine performance and my favorite car in 2019.
" 5
"Excellent car in India Low budget me the high class car I love this car & my Dream car, JUST GO FOR THIS VEHICLE BLINDLY. YOU CAN PURCHASE ANY VARIANT DEPENDING UPON YOUR...Read More" 5
"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.
" 5
"Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressin...Read More" 5
"Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect...Read More" 5
"Best features and look at, best engine performance and my favorite car in 2019.
" 5
"Review" "Review_rating"
"I tried to ignore writing a review of the car. But the quality, performance and overall comfort of the car forced me to do so. I am here writing about Kia Seltos. Using this car for a bit now with decent 10000km on record. The car will not at all disappoint you in terms of pickup and driving comfort. The seats hold you so well and on top of it the ...Read More" 5
"The best car of 2019 hands down. The features and the price is beyond the world, love everything about it. Especially the heads-up display and the sunroof. All the variants are BS6 compliant and all of the variants of the car are nicely put up and all of them are feature-loaded too. The lights on the cars look like something else completely and it'...Read More" 5
"Excellent car for India. Whomsoever wants to buy a car, please go for this car definitely you will enjoy and also the best price with a luxury experience.
" 5
"It is a very well built car with value for money proposition. It also comes loaded with best in class features, some of which are first in its segment and most importantly it is the safest car available in its segment. It is also the most attractive and stylish car with a lot of youth appeal and is bound to turn a lot of eyeballs on the road.
Read More" 5
"The price-performance ratio is better than MG, Creta and other opponents as its size and modern features are very reliable. The wireless charger is also not a common feature. Its infotainment system is of Bose which is commendable. Also, it's an affordable car of its segment.
Read More" 4
"Excellent car in the market. Has shaken the automobile market by its features and performance. The biggest competitor in the field of automobiles.
" 5
"Runs smoothly and has great looks.
" 5
"Super looks and excellent engine. Better experience at a lower price.
" 5
"Amazing car with new technology updates and runs smoothly.
" 5
"In one word it's a superb car. The interior and exterior both are superb and have a good suspension. Good space, color combination is also good and look-wise it's superb. The driving experience is ultimate so far. Highly recommended.
Read More" 5
"Very wonderful design and technical development are too high this type of car, and also so many features available in the vehicle, more options and more model, vehicle looking is good. I'm seen the car at road very nice and fantastic road presence, one of the my lovely car of this segment, thanks to KIA motors I'm waiting for next Carnival car, als...Read More" 4
"I am proud of the owner of the Kia Seltos HTK+ petrol variant, it is the most comfortable car in its segment as well as has great driving and handling characteristics. Kia has provided all the necessary features at a competitive price but I feel that it should have provided some features like armrest and charging port for rear passengers too in thi...Read More" 5
"This is the most beautiful car, The design of the Kia Seltos is much richer and newer than other SUV vehicles in India, as well as being sporty. Very good quality has been used in this. Its front is a quite bold while from the side and back it looks quite premium.
Read More" 5
"The car's performance is superb and its engine is so powerful. It's interior is luxurious and runs smoothly.
" 5
"5he car nice spacious. The infotainment system is also great .the first in segment thing is the air 1uality control system and the bs6 engine.
" 3
"Nice look & features as well. Not all good features available in all the top models. Hi-tech. support features.
" 4
"The best car made by Kia. Seltos give excellent performance and also well comfort. The look of the car is also beautiful.
" 5
"Excellent car with top-notch features. Best in its class driving experience. High comfort level and space.
" 5
"It's a brilliant 5 seated car with heavy power and excellent fuel mileage. It's look is pretty awesome.
" 5
"Great car to drive and good proportions. There is less body roll at the back. Superb interiors and great tech inside. I heard quite a few comments that servicing is not that great but I have never experienced such an issue. Overall it's good.
Read More" 4
"This car is a very wonderfully design by Kia motors. Its headlights are very attractive and the front view of the car is very amazing. Kia Motors are giving the best function in this car of a 360-degree rotating parking camera with sunroof and also 6 airbags. The wooden finish in the interior of this car is very fabulous. Very luxurious sitting in ...Read More" 5
"Superb car, it will be a good experience to drive a car like this and it will be ruling on Indian Road in the future. The taught of innovation to make this car for Indians very thankful. The technology used in this car is best for the price tag they have. The shape is the perfect SUV in the market. The LED lights front light everything is perfectly...Read More" 4
"Excellent car specification, head-lamp display, alloy wheels are very good and the design is amazing.
" 5
"Kia Seltos is a great car with good mileage, low maintenance cost and fully feature-loaded car. Amazing body design and perfect interior getting in this car.
" 5
"Good ride quality, refined engine, and 1.4 petrol motor is a blast to drive. Build quality gives a premium feel. Nice and spacious cabin well-built car.
" 4
"Nice and bold car Kia Seltos. Looking beautiful, nice shapes and aggressive looks. 
" 5
"Best car with high end features in a medium budget. When this car was launched in India it beat the Tata Harrier and MG Hector but it has a common exterior design that looks like Creta. It doesn't give a fresh look. Peopld liked it because of high features in this car with some more expenses. Due to high sales in India, this company became India's ...Read More" 4
"Kia is an affordable product for SUV lovers. If we are comparing Kia Seltos or Creta so Kia will definitely wins this segment.
" 4
"Kia Seltos is a nice car. Also getting very nice interior and exterior in this vehicle.

 
" 5
"Kia Seltos is a very excellent car, as it offers much more features than other cars in this price range, but its top-end model is not value for money because it offers the smaller engine as compared to its rivals.
Read More" 5
"Review" "Review_rating"
"Kia Seltos is one of the topmost good cars because of his good performance and many other excellent features at a cheap price. It is a new company which enters in Indian market but set up the best and strong market in the country we should appreciate to all to members who are working for the Kia company and thanks to designer who give this the best...Read More" 5
"This car is superb for mileage and looks stylish and furious. This is an awesome car.
" 5
"It is so well designed and comfortable car. I am glad to see such a car in that budget. First I had a Honda City but KIA is better than it. I and my whole family are enjoying it. It is also perfect for long journeys and from one state to another journey. I also like traveling, so I recommend all this car for travelers. Thank you.
Read More" 5
"Poor suspension setup. Stiff suspension gives jerks even on smaller bumps. I am surprised why people ignored this. Suspension of Creta is better, best indeed.
" 1
"I have purchased Seltos HTK PLUS Diesel Automatic car is good in handling and running on roads. But there are some problems in quality car doors is very lightweight inside material is also not so premium as I was thinking. The average is also not so good. The audio system is very awesome with mood lighting features. seats are very comfortable but t...Read More" 4
"I have this car, it's awesome, I am using this car last three months, I haven't felt any problem and it's very good at driving and price-wise it's really good amazing features, a stylish look which makes it perfect.
Read More" 5
"Kia Seltos is the next-generation car with excellent features. It's Style, Performance & interior is Luxurious. I love this car. I'm totally satisfied with this. Sporty Looks & Cool headlights make it more attractive. Also, getting good quality speakers in this car.
Read More" 5
"Very good car and smoothness of the car is nice and features of the car are awesome. The car looks like an SUV and nice-looking exteriors.
" 5
"Seltos is an awesome and comfortable car with low maintenance and low price. The facilities available are good looking at high range.
" 4
"This is a very nice car and the features are very good. People must buy this car. The seats are very nice as well.
" 5
"Nice car and the design was too awesome. This is the awesome entry of Kia in India. It includes a bose speaker which is too good. In India, this is a first car comes inbuilt bose speakers which are a pretty good thing about the car. The interior was also a good highlight and the exterior was also good. At this price, the car is too good.
Read More" 5
"Nice car with a lot of features including 360 camera facilities and lot of things which are given the first time in any vehicle in India with low cost and vehicle comfort is high and performance is also good cc is excellent and so on etc enjoy Hia motors enjoy Kia Seltos.
Read More" 4
"Seltos is good, but they need to lower the budget but the car and it is a high-class luxury car. The handling is also very smooth, pickup speed is also superb, the AC cooling is good and superb brakes. But the airbags must be more so that it will ensure safety of the people.
Read More" 5
"Good space and excellent comfort, safer, looks are bold and stylish. The best car in this budget for a small family.
" 5
"An awesome and classy car with its amazing features and beautiful and classy look. No other car in this range can give take over to Kia Seltos. This is my humble request to Kia to introduce more cars like this and keep going like this.
Read More" 5
"A compact SUV with the styling, features, and tech to really hit the sweet spot as far as what customers are looking for.
" 5
"Nice car with suitable features and the cost is also reasonable but the thing is availability. It's not available at all places.
" 4
"Well, a featured car with full specifications and well likable also, I love to ride this car every time and the main part is that it is suitable for every type of person.
Read More" 4
"This car is a very good choice at this price, body, look, maintenance and service, everything is maintained by Kia India.
" 5
"The great car really with great interiors and full of new functionality which we haven't seen in any other car in India. Very much spacious and looks amazing.
" 5
"The Kia Seltos is one of the most eagerly anticipated launches for the year 2019. But before Kia Motors announces the price of the Seltos, we were invited to take the compact SUV for a spin around the streets of Goa.
Read More" 5
"The excellent new designs and the world's most beautiful car has already buzzed the market. 
" 5
"Very nice car and very comfortable seats with powerful brakes. The interiors and its seating arrangement are also amazing. Available at affordable prices.
" 4
"A very comfortable and smooth vehicle. The gear-box is very smooth.
" 4
"Amazing car with ultimate colors.
" 5
"Best of 2019 just because it has extra features and good looking interior and exterior design.
" 5
"Best in class, good infotainment system, smooth driving and feels like a premium one. For only who can afford it.
" 5
"The affordable SUV car is so comfortable and it has many functions. It has a sunroof as well. Also available at the cheapest rate as compared to the Venue.
" 5
"I love the interior of this car This is perfect for the family and It is an affordable good looking car. The front-facing is superb.
" 5
"It's a nice car and really worth the price. It looks fantastic when it runs like a cheetah on the road. Talking about the safety of the car, absolutely safe car. Power and horsepower are really very powerful. Boot space is also very huge. Radio screen of 8 inches looks perfect and the speakers of BOSE give a clear voice and it has mood light also w...Read More" 4
"Review" "Review_rating"
"The Kia Seltos is good in every possible way, but there is a huge downside to the Seltos in case of pricing, where the vehicle is manufactured in Andhrapradesh the prices must be a bit low as all the other rival are priced very less in spite of manufacturing out of India. There is one thing Kia should implement which is it should provide the essent...Read More" 3
"Kia entered the Indian market with the SELTOS the one which shook the Hyundai CRETA and takes the first position in the compact SUV segment. It is offered with a 10.25-inch touchscreen display, KIA's UVO connects, air purifier, sunroof, and HUD(Heads Up Display). The car has three engine options all of them available either in manual or automatic t...Read More" 5
"Good experience while seating on driver seat. It is like, this is the car I was waiting for. It has a 4-star quality, being a middle-class 1 star less for price.
" 5
"The car gets at the top speed in no time, it is a great car to get the money worth. The Seltos is amazingly featured as well.
" 5
"This car is very excellent in this price range because in this car there are more additional features.
" 5
"Very Nice car and feels like luxurious looking XUV. Very comfortable and amazing features. 
" 5
"SELTOS HAS GIVEN A BIG COMPETITION TO HYUNDAI CRETA IN THIS SEGMENT. THE KIA IS ABSOLUTELY THE KING.
" 4
"Such an Impeccable Machine with flawless drive, Indomitable power, eye-catching design, and Hushed Engine. Its a feeling of some luxury segment at very competitive pricing. Moreover Interior is just mind-blowing with such soothing acoustic sound. Pocket-friendly for all mileage concern buyers as it easily churns 18 km-22 km per liter depending on c...Read More" 5
"Wonderfull look this car has, interiors are mind-blowing. This car is fully loaded with multiple features.
" 5
"I had fun while test driving the demon. A good one with awesome driving excellence. Great build quality and control.
" 5
"This car is a very silent and very nice car. It has many new, useful features. Quite spacious as well.
" 5
"A car that is built to conquer the mid-size SUV segment. With all the bells and whistles coming in terms of features and power(1.4 turbo petrol) combined with the variety to choose from, be it types of transmission options and varients and also color options, made to be unique for almost every masterpiece made making it an extreme value for money p...Read More" 5
"The Kia Seltos has a very different design, and very much comfortable. 
" 4
"Great performance with dashing looks.
" 4
"The car looks like SUV but not the real SUV. The petrol engine never makes any noise but here I can see unexpected things. IVT is lazy. Manual petrol and 1.4 is good. Diesel major looks difference from petrol even the grill and the bumper not matching with. Petrol 1.4 and diesel have all the disc brake, not the other petrol. Bose speaker is only av...Read More" 3
"Very excellent car, the look of the car is impressive and the ride and handling quality is awesome. The interior of the car is so classy, every look of car is so commendable. The color combinations of the car are too good. The alloy of car is mind-blowing and boot space is very much spacious.
Read More" 5
"Very good car with a fantastic front look and have a great boot space. Have sufficient leg space at the back.
" 5
"Fully feature-loaded SUV. Kia has done excellent work for Indian customers. 5-star for its look, features, and performance.
" 5
"I'm driving the Kia Seltos HTK+ Diesel model. Overall the car is best. I have driven it 6500kms, but still no issue. Pick up is great. Mileage is around 21kms also best on bad roads. The car is best on curve road to have great grip. Infotainment is good. Some issues with Android Auto gets disconnected within1hr. But with a software update, it will ...Read More" 5
"It's a pleasure to sit in the car and treats me like a king.
" 5
"Fantastic tuned engine, hi-tech entertainment system, great build quality, comfortable seats and decor, first time ever air filters in the car and brilliant suspension. I have been driving Seltos HTX Diesel for 1000 km now and the car never ceases to surprise. More airbags could have helped and the rear seat could have been a bit longer for support...Read More" 4
"Smooth driving and luxurious car.
" 5
"Satisfying ride, comfortable seats, powerful beast. I tried other cars in the same price range but no one was comforting as this one.
" 4
"Most popular car in the world because of looks. Its look is very good and has many features that contain In-car 50-liter storage to fill tanks and many features. This car drives smoothly and this car is best for buying.
Read More" 5
"I just bought the one but the mileage of the car is not satisfactory. It doesn't give more than 12km/ltr.
" 4
"New in the Indian market, Kia Seltos is everything that one needs in a mid-size SUV. Value for money, indeed.
" 4
"Good car with the futuristic and latest tech, appealing to masses especially gen x,y, and z. Looks sturdy, has road presence and a differentiator when runs on the road, a masculine look which is attracting most of the young people. Multiple variants and both manual and auto transmission options make it a top seller. The only area where it needs to ...Read More" 4
"It's a good looking car, nice performance, comfort level is good and luxurious. The interior is very attractive and of good quality.
" 4
"Very good car in budget with the best performance, low maintenance and undoubtedly controlling is also very well.
" 5
"A very good car, in this price tag they gave all premium interiors but the only thing petrol DCT transmission heats up.
" 4
"Review" "Review_rating"
"These new entrants are not as per the safety norms. Only features and comprising on safety. People in India are not looking at safety ratings while purchasing a car like playing with life. This is well understood by these vehicle manufacturers and hence they are putting only features. I think safety should be first.
Read More" 2
"If we talk about the overall ratings of Seltos, no one can give a proper review. When I started the engine, the sound was so negligible that I cannot tell you the silence in the cabin. The power to thrust ratio is well explained in this Car. Even if you scale at 3rd gear. The engine seems to be smooth and amazing. I would suggest Seltos over The He...Read More" 5
"The car is great at handling and suspension is set good for the Indian roads. Good design in exterior as well as interior, The engine shows good aggressiveness in the real world. Offroad experience is good too because of the suspension and the projector headlights. The space that the car offers in the second row and in the boot is pretty good. The ...Read More" 4
"Excellent SUV with modern technology, style, performance, handling, comfort. Perfect vehicle by Kia. Impressed with the long list of features including Head's up display, Air purifier, 360 camera with the blind-spot camera. Kia plays a key role in the Indian market.
Read More" 5
"Kia Seltos is providing all features in under 10 lakh price range. An awesome car as compared to other cars. Mostly, getting all the safety features in this car.
" 4
"Seltos is a big hit in India. Kia released their first car and got a massive hike. The horsepower and 1-liter turbo charge is just lit. It became the fourth largest car producing companies in India already. The screen in the car is just awesome and should've got panoramic sunroof competing for the MG Hector. The speed is pretty good.
Read More" 5
"The best car in the segment and is quite affordable.
" 4
"Great design and silent cabin with good ground clearance. Comfortable to drive for longer travel.
" 4
"I had a test drive and the performance and comfort were good. The riding position should have been better.
" 4
"This car is unbelievable due to its features and looks it has.
" 5
"This is actually the best offering in the current price range. People have been cribbing about features, well then pay for it! You forget it's technically not an Indian company, so taxes are more! The range-topping GTX+ model which now also comes in both petrol and diesel comes with features that none of the vehicles in the current market offer. 6 ...Read More" 5
"Best experience with new Kia. Fully loaded with Hi-Tech features. Enjoying the drive as this is the most amazing car ever.
" 4
"A fabulous car which is very much extra-ordinary.
" 3
"Really an amazing car and a very smooth car.
" 5
"The Kia Seltos is a bit more expensive but offers a lot more for it in terms of safety and features. It is well worth the premium over the MG Hector
" 5
"The most beautiful car than other companies currently in India. I don't know much about this company but this is the best car for everyone because this is a very powerful car and the model is very nice looking and indicators are comparing with Audi and the price is very suitable than other companies.
Read More" 5
"The Kia Seltos is very excellent in looks. Its alloy wheel looks great and the front fog lamps and big headlights with DRLs looks are pretty much fascinating. This mid-size SUV is too good in this range. Kia Seltos is better than MG Hector and Hyundai Creta. Kia Seltos's front view is looking aggressive and side view of Seltos is just amazing.
Read More" 5
"It looks very different as it has a sunroof and is a five-seater car. The boot space is also bigger than other cars.
" 5
"Best in the segment car and strongly suggest you take a good long hard look at the Kia Seltos. It's a compact SUV that looks super promising, offers a lot and from our first drive experience and felt the moment.
Read More" 5
"Kia Seltos is a nice car and also getting good legroom, headroom and overall spacious car. Kia is one of the best companies which offers a passenger vehicle with all the best possible features.
Read More" 5
"Kia Seltos is the one in a class after much-awaiting finally release this car with all the most useful features. Kia Seltos the car with ease. The vehicle drives very smooth and you can get very attached and comfortable within its first 5 seconds of the drive. Interior is refreshing, the led wall is a gem. Smooth drive brings you comfort. Looks are...Read More" 5
"Kia Seltos is a very spacious car and the interiors are awesome. Very good ground clearance is very good. Seating capacity is 5, engine power is boosted. The pick up is very good. Mileage is ok.
Read More" 4
"Looking nice and has a good performance as well. One of the best SUV of the current time, autonomous and voice control are amazing.
" 5
"Best in class and very cool engine and best breaking system good engine sound interior has very good finishing.
" 4
"Looks are definitely the best. But it lacks good suspension. It's a little bit hard. It gives a very premium feel while I enter in it. Full of features.
" 4
"Very good car in terms of technology and ride experience, but if it was fuel electric it would have been much better.
" 5
"This car is really very good at having a very excellent performance. I love this car because of its awesome interior and very good features at very low rates.
" 5
"Perfect car of the year loved all its features in this car. No car can beat the accessories the technology provided in this car.
" 5
"Excellent features are loaded like premium cars. The look is great and awesome Cost is very competitive in the SUV segment.
" 5
"This car is just amazing with a bunch of features and this is the best in-car segment, it is just amazing for youngsters.
" 4
"Review" "Review_rating"
"I am a big fan of Kia. When I was in South Korea my brother bought a Kia optimum. When Kia launched its first car Seltos in India. I bought that. And I am very happy to buy this car. Its mileage is OMG! Very very good. The pickup is very good. It's very smooth. It looks very sharp. And it is as comfortable as a Jaguar. And successfully it is the to...Read More" 5
"Excellent Features and at par with luxury cars like BMW and Benz etc. I was using Ford Ecosport which was much stronger than Kia Seltos. Transmission temperature increases and you are forced to stop in traffic. Except for the strength and heaviness of the car, looks-wise It is very elegant.
Read More" 4
"I like every part of the Kia Seltos as the seats are very comfortable. The look is superb. The speedometer is stylish. The red colour is best Kia Seltos has multiple engine options as I want. This car is available in petrol as I want a petrol car. All engine has an automatic gearbox. The car has air purifier Car has a Bose sound system. Connect car...Read More" 5
"The interior and exterior are very nice and beautiful.
" 5
"It's the best car in the price range and gives me the phenomenal performance that an SUV owner wants. It's my pleasure to have a Kia in my house. This car has an outstanding fuel economy compared to other car. The car comes with a good dynamic look and with outstanding features that will help you in your daily life. The car comes with a sunroof tha...Read More" 5
"Great features the car has. Amazing mileage and great performance.
" 5
"Well, this car is one of the best premium SUVs you can buy today, with features like air purification and the mirrors that show the side view of the car for an added layer of safety. It's the best mid-sized SUV you can buy. Interiors give it a premium look, and yes drives like a charm.
Read More" 5
"Kia Seltos is the best in class, comparatively, it's not a box, the base variant is also carrying all necessary features. The music system and multifunction steering are available in all models.
Read More" 5
"It comes with awesome features. Its automatic gear shifting is smooth and seats are very comfortable. All windows are also automatic. 
" 5
"According to me, Kia Seltos is best. Best in Comfortable, best in mileage, best in look. In short, an amazing car.
" 5
"Great car in the SUV segment and worth buying. The interior looks top-notch. Also, you get a smooth feeling while driving. I did a test drive and it feels wonderful. Highly recommended.
Read More" 5
"Awesome car, with best in class, Bose music system and the front grill of the car is also amazing along with the day time running LED.
" 5
"This car looks amazing and also has a 360-degree camera view, which is very rare.
" 5
"This is a car I was looking for and the features of this car are amazing. It's comfortable on Indian roads. This car has every feature, which an ideal car should have. Not only the interior is great, but the exterior is also commendable.
Read More" 5
