review_title,review_url,review_text,review_likes,review_rating
TRUE TO ITS JEEP HERITAGE,https://www.cardekho.com/jeep/compass/user-reviews/2,"The buying experience wasn't as expected. The car, however, was a different story. It has the looks which draw passerby's attention, very fun to drive due to the amount of power and torque available on hand. The build quality is commendable (both exterior and interior), far better than cars in the same segment. The numerous small features give a go...Read More",2 Likes,4
Awesome Car,https://www.cardekho.com/jeep/compass/user-reviews/2,Awesome car. Best SUV to drive in the price range. Built quality is very solid and a quick peppy engine.,0 Likes,4
Lead the way,https://www.cardekho.com/jeep/compass/user-reviews/2,"A beautiful machine to drive in. With power and smooth engine, you don't feel like getting out of the car.",0 Likes,5
Can't wait for you,https://www.cardekho.com/jeep/compass/user-reviews/2,"I was impressed with the design. Still have a dream, that one day I will be the owner of this muscle.",0 Likes,5
Best Premium SUV In India,https://www.cardekho.com/jeep/compass/user-reviews/2,"Jeep compass limited plus is a very nice SUV. It looks like a muscular and top class car. The car's make and build quality is fantastic, you feel better during offroad. There are 50+ safety features in this car. There is a new feature of a panoramic sunroof, looks amazing. Car parking button is good. Read More",0 Likes,5
Best car,https://www.cardekho.com/jeep/compass/user-reviews/2,"Best car for Indian roads solid build and strong looks comprehends together to make the machine irresistible to watch, drive quality above any other in this price range. Happy to be an owner of the Jeep Compass. feeling proud of my choice.  Read More",0 Likes,5
Jeep a brand,https://www.cardekho.com/jeep/compass/user-reviews/2,Jeep Compass is a good car I am using this car Car very smooth I am very happy to brand sound too good and seat memories are awesome Jeep compass sunroof very large panoramic sunroof is too good. Read More,0 Likes,5
Great specifications of car for all middle class families,https://www.cardekho.com/jeep/compass/user-reviews/2,One of the wonderful car for a family. it is suitable for all kind of roads.milage is perfect for highways.simble of jeep very luxurious in the world. This car is a budget car for all middle-class people. In the car sound system is very perfect. The luxurious look is the greatest things in the car. Seats in the car is very suitable for my family Read More,0 Likes,5
Superior car,https://www.cardekho.com/jeep/compass/user-reviews/2,"Ultimate design , ultimate feature, comfortable seats and price",0 Likes,5
Review of Jeep Sport Bedrock Petrol- Average Performance,https://www.cardekho.com/jeep/compass/user-reviews/2,"I am using sport Bedrock petrol and it is felt that there is a serious lack of power thrust especially when you get a little rise on the road (going up from downside of the road). Also, Mileage I am getting in the city is around 8 KM/ L which is very poor compared to any other vehicle in this segment. Read More",0 Likes,3
Best Features,https://www.cardekho.com/jeep/compass/user-reviews/2,Superb SUV. Its top 4×4 model is very cool. Its features are the best features among all the SUV's which I have reviewed. And its look is very perfect. Its colour combination is very good. Read More,0 Likes,3
I love this car,https://www.cardekho.com/jeep/compass/user-reviews/2,Awesome car. When we talk about the features so it has awesome features.,1 Likes,5
Best and Favourite Car,https://www.cardekho.com/jeep/compass/user-reviews/2,Best for off-road and adventure and exploring new destinations.,1 Likes,5
Great Car Performance,https://www.cardekho.com/jeep/compass/user-reviews/2,"It comes with great driving experience and with power, build quality of this car is best in its segment.",1 Likes,5
The Perfect Combination Of Power With Luxury.,https://www.cardekho.com/jeep/compass/user-reviews/2,The car is feature loaded and comes with 2.0 litres turbocharged engine which gives you the power to ride. The suspension is best in class. Interior is awesome and the comfort level is up high. A real value for money car. The best thing is jeep has designed the car for India terrains. A very powerful and luxurious machine built to please the rider....Read More,1 Likes,5
Fine SUV,https://www.cardekho.com/jeep/compass/user-reviews/2,"One of the finest SUVs that came across as searching for the right one. This one is a head turner and the performance is just amazing. Once u drive it, it's just you and the machine, just wonderful, loved the beast. Read More",1 Likes,5
,https://www.cardekho.com/jeep/compass/user-reviews/2,The ride quality and driving dynamics of the car makes this SUV feel like a sports hatch. Haven't had so much fun driving an SUV. The last time I had so much fun was in a first generation swift. The vehicle feels really planted and stable at triple-digit speeds on the highway. The fit and finish quality are excellent. The leather seats are one of t...Read More,1 Likes,4
Great SUV. Top Of The Line,https://www.cardekho.com/jeep/compass/user-reviews/2,Best SUV in the segment! I'm in love with Jeep. It's really a head turner vehicle! Great Road appearance.,1 Likes,4
Good car,https://www.cardekho.com/jeep/compass/user-reviews/2,I will only say some words because there is nothing to say about the car. It's awesome we brought the car at 2018 July. It has six gear also 17tn 17+ average there service is also good the people are awesome. I will tell you that we were going to buy the Baleno. Read More,1 Likes,5
Compass the Complete Compact SUV Car,https://www.cardekho.com/jeep/compass/user-reviews/3,"Satisfied with all the variants. Driving comfort, Fuel economy, so much compact. Great Car.",1 Likes,5
Roar Of The Lion,https://www.cardekho.com/jeep/compass/user-reviews/3,Amazing car with cool features and excellent look. The hydro blue color is a mind-blowing car.,1 Likes,5
Jeep is My Next Kid.,https://www.cardekho.com/jeep/compass/user-reviews/3,"Value for money, looks awesome. Everything is designed keeping in mind all the aspects of the car. A must-have vehicle. Planning to buy soon.",1 Likes,5
Compass Feel It.,https://www.cardekho.com/jeep/compass/user-reviews/3,Best in class horsepower with great mileage. Head-turning exteriors with eye-catching iron man inspired headlamps.,2 Likes,5
Best Car Ever.,https://www.cardekho.com/jeep/compass/user-reviews/3,This is the most excellent car ever in which I have traveled. The pickup is amazing. We drive our car on 180 which was really fast speed.,3 Likes,5
Jeep Compass is The Best SUV.,https://www.cardekho.com/jeep/compass/user-reviews/3,Jeep compass has superb comfort with high stability and fine control even at higher speed.,2 Likes,5
King of the road,https://www.cardekho.com/jeep/compass/user-reviews/3,"Fantastic design, drives smoothly, amazing features, and also getting best engine sound.",1 Likes,5
The Ultimate Off-Roading Machine,https://www.cardekho.com/jeep/compass/user-reviews/3,Jeep Compass is undoubtedly the synonym of off-roading. Its strong built has no match. Indeed an ultimate machine.,1 Likes,5
Go for Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,Jeep Compass has superb comfort with high stability and fine control even at top speed. ,0 Likes,5
If you never drive you never know the beauty.,https://www.cardekho.com/jeep/compass/user-reviews/3,Such a brilliant diesel engine with adequate bhp takes you to the maximum speed experience with good road grip and great ambiance. Lovely machine. Thoroughly enjoyed driving the motor. Read More,0 Likes,5
Superb car,https://www.cardekho.com/jeep/compass/user-reviews/3,"Ultimate driving experience, a lot of power yet smooth handling, so much control and confidence anyone can feel while driving in all driving conditions, whether it is bumper to bumper traffic at low speeds, or highway drive even on 150+ speed or off roads or bad roads. In each condition, the driving experience is full of fun. Read More",0 Likes,5
Awesome Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,I have purchased my Jeep Compass in May 2018 and since then there is no turning back. The ride experience has been awesome.,0 Likes,5
Jeep Compass Limited plus,https://www.cardekho.com/jeep/compass/user-reviews/3,Bought this beast 3 months back. Performance in highways as well as off road is great. So much of power with great mileage and awesome built quality is amazing. You need to drive the compass to know it. Very much satisfied after getting my hands on it. Read More,0 Likes,5
Brilliant and Worthy Car,https://www.cardekho.com/jeep/compass/user-reviews/3,Jeep Compass is a brilliant car as it worth its price. It has such a solid body accompanied with elegant looks. It is a gem for an off-roader but as a coin has two faces the other face is that the Jeep brand lacks in service.  Read More,0 Likes,4
JEEP feels WoW,https://www.cardekho.com/jeep/compass/user-reviews/3,"Jeep Compass is an amazing SUV, the experience in hilly terrain area was great. I'm satisfied with the budget and I'm waiting for new trail hawk to purchase. This is an amazing off-roader also. Read More",0 Likes,5
Unbelievable Jeep,https://www.cardekho.com/jeep/compass/user-reviews/3,"The all-new Jeep Compass is hope for the SUV lovers. The engine of the car is very superb and the petroleum tank is also very big, it is the best car.",0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,"Jeep Compass is the best car I have driven so far, excellent performance is also a great point.",1 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,Pros -Build Quality like a military tank -Driving Experience -Interior Ambience -Road Presence -Jeep Branding Coming to neutral -touch screen response -Design of alloy wheels. Cons -Front flop below the bumper tends to touch as it very low to the ground you can remove it - The absence of automatic transmission in diesel Read More,1 Likes,5
JEEP COMPASS,https://www.cardekho.com/jeep/compass/user-reviews/3,"Jeep Compass is a whole new concept...a beauty and also a beast with best in class speed, comfort, and engine. The best thing in the car is the noise cancellation inside the car and it's very smooth and also the best for off-roading. If you are looking for a car in a budget with best features, then you may buy this beast. Read More",1 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,Jeep Compass is a great car and great looking. Everything is good in the Jeep Compass.,0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,"Jeep Compass is a very nice car, it is very smooth to drive. ",0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,Jeep Compass is the best features in 5 seater car in this segment. Nice and sporty look. It feels luxurious. The car is very comfortable and powerful.,0 Likes,5
About Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,"I have just taken this car on January 20, 2019, .and it is working very well. I have given 4stars because very less feature compares to Toyota Fortuner.",0 Likes,4
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,Jeep Compass is smooth in running. It has a refined engine and its a perfect highway car.,0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,"Jeep Compass is a superb car with extreme performance. 4x4 is perfect for this car, it is the best car in the medium range.",0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,"Jeep Compass is a superb car, I'm using it for the last 8 months. It has massive power with all-wheel drive.",0 Likes,5
What a engine?,https://www.cardekho.com/jeep/compass/user-reviews/3,This car has offered mind-boggling features. The interiors are premium. The offers have great competition for Creta and Harrier. After 2000 rpm this runs like a bullet.,2 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,Jeep Compass is a very nice car. A car with good mileage and having that much of power of 173 bhp and even less noise inside the car.,0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/3,"It's a good car, I would not say its perfect but ya good, not a value for money product. Its limited plus variant is too costly, but the power of the engine is superb, The interior is luxurious and it does have some road presence. Read More",0 Likes,4
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,Jeep Compass is a nice car. It has a great model and good performance.,0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,"Driving a Jeep Compass is an addiction, such power and flawless drive makes it an absolute delight. Additionally, its tank-like build quality and safety makes it live up to the Jeep brand. Read More",0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,"Jeep Compass is real love. It has the thrill to drive with comfort, smooth gear shift and best pickup. ",0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,"I bought a Jeep Compass Limited Plus last week. Oh God, what an SUV it is. A perfect blend of killing looks and beasty power. It is so comfortable to drive and made for enthusiast drivers. I'm loving it. Read More",0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,"Jeep Compass has a nice exterior design, this compact SUV is an attractive one in its segment. ",0 Likes,5
Fantastic car,https://www.cardekho.com/jeep/compass/user-reviews/4,Fantastic SUV to drive long and rough surfaces. Loved the design and performance.,0 Likes,4
JEEP COMPASS,https://www.cardekho.com/jeep/compass/user-reviews/4,Jeep Compass is a very good SUV but the problem is that the rear seats are uncomfortable.,0 Likes,4
Jeep compass has excellent mileage,https://www.cardekho.com/jeep/compass/user-reviews/4," I got Jeep Compass, it is really outstanding the mileage is just 20.5 km/l only at 90km. It has super control at 140, overall I love Jeep till now I had the best experience but the service centres are not up to the mark. Jeep have to work more on this but no complaint on Jeep Compass SUV Read More",0 Likes,5
Jeep Compass is the best SUV,https://www.cardekho.com/jeep/compass/user-reviews/4,Jeep Compass has a stylish body and upscale SUV with real long lasting rough and tough quality. It comes with high safety standards and true SUV for off-road.,0 Likes,5
Best Driver's SUV in the Bracket,https://www.cardekho.com/jeep/compass/user-reviews/4,"In a country obsessed with features, we often forget how a car isn't just a tool to get you from one point to another. It's how you get there. This car does everything and once you find a good stretch of road, you'll know why. Read More",0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,"Jeep Compass is a bad car, it is not perfect for Indian road and the maintenance cost is very high.",4 Likes,1
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,"Jeep Compass is a bad car, it is not perfect for Indian road and the maintenance cost is very high.",1 Likes,1
The best in its segment!,https://www.cardekho.com/jeep/compass/user-reviews/4,"This is easily the best car in its segment with that 170 horsepower, 2.0L diesel engine producing 350Nm of peak torque. This is one of the best driver's car.",0 Likes,5
Jeep Compass is the best,https://www.cardekho.com/jeep/compass/user-reviews/4,Jeep Compass is the best SUV in Segment it's just phenomenal in price.,0 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,"Jeep Compass really a nice car and its interior are awesome. It's leather seats are really good, it's designed airbags all are very amazing. I wish Jeep keeps on making such awesome cars. Read More",0 Likes,5
Love Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/4,Jeep Compass is just amazing where all the features are good enough for the common man.,0 Likes,5
It is a beast,https://www.cardekho.com/jeep/compass/user-reviews/4,"I have Jeep compass 2017 which can drive perfectly on any type of road, such as plane road, sand road, mountain and also in a desert. I just love it.",0 Likes,5
Shaft Problem,https://www.cardekho.com/jeep/compass/user-reviews/4,"I purchased the Jeep Compass Diesel Limited Option model in 2017, I choose to purchase the Jeep for its Safety Features and so I bought the Top-End model, All was going well until Dec 2018 but one night of Dec 2018, I met with an accident. I was driving Jeep Compass with my friend at a speed of about 80 to 100 km/hr on this freeway suddenly my righ...Read More",0 Likes,1
Phenomenal car..!!,https://www.cardekho.com/jeep/compass/user-reviews/4,Most satisfying car. Under this money bracket. Proud to be an owner of JEEP COMPASS LIMITED PLUS..!! &#x1f60e;,2 Likes,5
The stylish jeep compass royal compass,https://www.cardekho.com/jeep/compass/user-reviews/4,This car is so beautiful and wonderful the interior is amazing and the exterior is also nice and this is the best SUV forever and good looking car and it is important car and royal car it is my dream car The Jeep Compass very nice car and stylish also and the front design also very good and the sunroof is amazing really I appreciate this car from b...Read More,2 Likes,5
Branded car better to say its a golden star,https://www.cardekho.com/jeep/compass/user-reviews/4,The most attractive point is designed like a luxurious model series like Benz and affordable price range love this car to buy even middle and rich class people's. The car is insanely awesome SUV. Read More,2 Likes,5
About the car,https://www.cardekho.com/jeep/compass/user-reviews/4,This car is a very accurate car range. I think this is the evolution in cars. The car is a feature loaded masterpiece by JEEP.,0 Likes,5
Be Cautious while you Buy JEEP !!,https://www.cardekho.com/jeep/compass/user-reviews/4,"I have bought JEEP Longitude (O) with paid Mopar Maintenance Package by August from an authorised showroom in Coimbatore. Poor Sales Team, no knowledge on the Car itself (lol) next is about Variants. Cheating on Money. I didn't get the Invoice for the Value that I have paid. Insurance amount has been doubled than the actual Insurance JEEP has provi...Read More",0 Likes,1
Best Suv of india,https://www.cardekho.com/jeep/compass/user-reviews/4,"Awesome car at a good price. It is a good looking, affordable car. It is the best SUV with awesome features.",0 Likes,5
The king of the road,https://www.cardekho.com/jeep/compass/user-reviews/4,We bought our car on the 22 November 2018. We got the limited plus 4*4 variant. Exactly 1 month later we went on a road trip from Kolkata to Rajasthan and the car performed brilliantly. There were some parts where no other car could go but it went flawlessly without a problem. Read More,0 Likes,5
It's like on roads,https://www.cardekho.com/jeep/compass/user-reviews/4,"The Jeep Compass is an awesome car with awesome safety features, It comes with 4 wheel drive, 4 wheel disc brakes, wide sunroof and the car looks amazing",1 Likes,5
Bad quality of battery and rear seat.,https://www.cardekho.com/jeep/compass/user-reviews/4,"I have bought jeep compass automatic in January 2018 my car is broke down exactly 375 days from delivery due to a battery problem. The company has given 3 years warranty on the vehicle, but battery (Exide) fitted in the car is very low quality and service center guys say only one year guarantee for Exide battery and you have to pay for it. The Exid...Read More",1 Likes,1
Great experience,https://www.cardekho.com/jeep/compass/user-reviews/4,Nice car to drive on highways and best handling than other cars at high speed.,0 Likes,5
Comfortable car,https://www.cardekho.com/jeep/compass/user-reviews/4,It's a very nice car and I satisfied with their safety and facilities. Very easy for long traveling and very safe for us.,0 Likes,4
Limited plus,https://www.cardekho.com/jeep/compass/user-reviews/5,A heavy car with nice looks. The best part is a dual panoramic sunroof.,0 Likes,5
Petrol drinking car- (5-6km/l),https://www.cardekho.com/jeep/compass/user-reviews/5,"The buying experience was very bad. The only mistake I did, never checked the mileage of the car. I believed the sales person who told me the average mileage is 14-17km/L. The Jeep team is not ready to accept the mileage issues. I have sent several emails to the entire Jeep team and there were no reply and solution. I am getting an average mileage ...Read More",0 Likes,1
Finally Big toy in my house,https://www.cardekho.com/jeep/compass/user-reviews/5,"Awesome deal, I really want to buy Jeep Compass and I am already booked this.",1 Likes,5
WOW WHAT A BEAUTY,https://www.cardekho.com/jeep/compass/user-reviews/5,"Jeep Compass has a superb road handling, good mileage manly looking what more can one ask for?",0 Likes,5
Don't buy jeep,https://www.cardekho.com/jeep/compass/user-reviews/5,Worst after sale services of the jeep. RSA of jeep crushed my jeep and now no one listening to buying is the worst decision.,6 Likes,1
Jeep features,https://www.cardekho.com/jeep/compass/user-reviews/5,"Jeep Compass is very nice, It looks Well good and it is a very safe car I like it......",0 Likes,4
Jeep is fabulous,https://www.cardekho.com/jeep/compass/user-reviews/5,"It is a fantastic car, if you want to enjoy a real drive in hilly areas and in straight and rough roads, it gives you a pleasant drive and experience. New sunroof facility is awesome, I have to wait for it for a long time. Read More",0 Likes,5
Jeep compy,https://www.cardekho.com/jeep/compass/user-reviews/5,Jeep Compass is a Superb car and it should be available all facilities and also good mileage.,0 Likes,5
VALUE OF MONEY,https://www.cardekho.com/jeep/compass/user-reviews/5,IT IS A VERY MUSCULAR CAR WITH BOLD AND ATTRACTIVE LOOK BUILT QUALITY IS AWESOME POWER EXTREMELY NITRO GOOD SPEAKERS OVERALL IT IS VALUE OF MONEY EVERYTHING IS THEIR IN THIS CAR ACCEPT PADDLE SHIFT BUT OK WE MANAGE. Read More,0 Likes,5
Best in class !!,https://www.cardekho.com/jeep/compass/user-reviews/5,"The all-new Jeep compass is absolutely a no doubt car with first in class features. The 4×4 option is so amazing that enables you to go for long drives as well as off-roading. But it comes short when it comes to comfort as the brakes may make you feel a little uncomfortable. Overall, it makes up with its better fuel economy. The Jeep Compass is exc...Read More",0 Likes,4
Best on Highways,https://www.cardekho.com/jeep/compass/user-reviews/5,Very Very Stable on speed 160-180. Luxury with comfort. This SUV is not just a simple 7-seater but a perfect vehicle for those who love power and class both...,0 Likes,5
Good look and strong suv,https://www.cardekho.com/jeep/compass/user-reviews/5,"Good looking smooth engine with a panoramic sunroof, Led DRL are looking superb.",0 Likes,5
"Awesome look, space and sunroof look batter then o",https://www.cardekho.com/jeep/compass/user-reviews/5,"Awesome look, space, and sunroof look better than other cars like Porsche.....The car has great power.....and amazing looks.......",1 Likes,5
Jeep compass,https://www.cardekho.com/jeep/compass/user-reviews/5,"It is an awesome car in this price, Jeep brand is Awesome, you do not need more if you like Jeep.",1 Likes,5
What to say about Jeep. It is favolus,https://www.cardekho.com/jeep/compass/user-reviews/5,"It is A fantastic car, if you want to enjoy a real drive in hilly areas and in straight and rough roads, it gives you a pleasant drive. New sunroof facility is awesome, I have to wait for it for a long time. Read More",1 Likes,5
If you plan the buy SUV so just think about Compass*,https://www.cardekho.com/jeep/compass/user-reviews/5,Wow!! wot an SUV which is a perfect SUV There is no one Like compass super smooth super slint super grip That is Fully Superb If you plan the buy SUV so just think about Compass* Read More,1 Likes,5
Rugged and powerful SUV,https://www.cardekho.com/jeep/compass/user-reviews/5,The Jeep Compass is a powerful and extremely powerful SUV capable of going off-road. It is also loaded with a tonne of features.,1 Likes,5
Little monster,https://www.cardekho.com/jeep/compass/user-reviews/5,"I got this little monster a month back, great build quality and more overhead-turning looks good. Good quality ride, but getting bit noise in the engine may be solved after first service hope so. Overall a good car. Read More",1 Likes,4
Awesome SUV,https://www.cardekho.com/jeep/compass/user-reviews/5,"Amazing driving experience in one word. Ride quality is excellent along with quality interiors & comfortable seats. Awesome & head turning look. Purchased cream white Jeep Compass Limited 4X4 from landmark showroom, Moti Nagar, Delhi in the beginning of this month. Supportive, enthusiastic sales team & staff with the unmatched buying experience. Read More",1 Likes,5
Jeep Compass My Experience After Driving 3000Kms,https://www.cardekho.com/jeep/compass/user-reviews/5,"We are a family of four and we all are really fond of cars including my little one 2 years old as well. The elder 10 year old son can rattle the power and torque figures of different cars. Most of the cars we have owned are driving oriented and we always take the build quality, driving dynamics and safety as top priorities every time we choose a ne...Read More",1 Likes,5
Jeep Compass - The Car for lavish driving,https://www.cardekho.com/jeep/compass/user-reviews/5,"I bought Diesel variant car in May 2018. Followings were in my mind while choosing Car. 1) Safety 2) Comfort 3) Quality 4) Attractive Look 5) Power If you are practical to have number of features over your paying price, then this Jeep Compass is not for you. Many other brands giving you so much in 65% price of Jeep Compass. They are committed for...Read More",1 Likes,5
Better options available,https://www.cardekho.com/jeep/compass/user-reviews/5,"I took a test drive of Jeep compass petrol automatic (top end) and was surprised to find that the basic features of this car is missing at a price tag of 25 L. Pros Good build quality Comfortable Cons Basic features missing like LED headlamps, cruise control. Just 2 airbags Audio system is no better than Maruti's Spare wheel is of smaller size thus...Read More",1 Likes,1
The real JEEP (Jeep Compass) & a true Quality product,https://www.cardekho.com/jeep/compass/user-reviews/5,It's a great vehicle with an awesome build quality and high safety standards. Great to drive on the highway with excellent ride and handling. Great Build Quality - Excellent exterior and Interior Quality. Finish - Harman excellent music system - only in a segment with 50 security features as a standard. Read More,1 Likes,5
Off-road King- Smooth in Ride,https://www.cardekho.com/jeep/compass/user-reviews/5,Great in look and smooth in Ride. Best for off-road driving. The engine runs smooth. I am having a limited variant which is totally great. If you are searching a compact SUV and then the Jeep Compass is the off-road king. No car is better than this in its segment. It also fits in the budget.     Read More,1 Likes,5
Stronger and Fully loaded with features,https://www.cardekho.com/jeep/compass/user-reviews/5,This car is a part of my family for 16 months have overcome all the obstacles and performed very well on the off-road and doing till now. Compass has the perfect build quality and safety features. Read More,1 Likes,5
Pathetic after sales service,https://www.cardekho.com/jeep/compass/user-reviews/5,The Jeep Compass is good at build quality performance which can be easily washed away when you compare the after-sales service experience.,9 Likes,1
GOOD to drive,https://www.cardekho.com/jeep/compass/user-reviews/5,"I bought a Jeep Compass Longitude optional a year back in Sep 2017 and was enjoying my drives like any other user, the overall performance of the vehicle is as good as expected, but when I went for the service my overall experience turned down.   Read More",9 Likes,2
Awesome Test Drive Experience,https://www.cardekho.com/jeep/compass/user-reviews/5,"I took the Test drive of Jeep Compass top variant a month back, and it was a superb drive. The build quality of the car seems good and compass have all the features including a panoramic sunroof, an 8.4-inch touchscreen infotainment system, an 8-way powered driver's seat, 18-inch wheels and more. A worth option to consider if you want to buy a SUV ...Read More",9 Likes,5
Excellent Car,https://www.cardekho.com/jeep/compass/user-reviews/5,"Pros - It has a powerful and punchy engine with an amazing build quality. Good Interiors. Superior ride quality and handling. The design is simply spectacular. Cons - Small screen size for ICE. Sunroof is not available. Dummy buttons. Still, I love this car and am waiting for the delivery. Read More",9 Likes,5
Amazing Driving Experience.,https://www.cardekho.com/jeep/compass/user-reviews/6,"I bough Jeep compass Limited on 6th Nov 2017. Actuallly I am a Hyundai lover & using Hyundai cars from last 10 years. But in July 2017 Jeep Compass was launched in India & after a month study on jeep, I planned to purchase compass by cancelling my booking of Hyundai Tucson. This is one of my great decision to purchase a jeep compass in Black colour...Read More",9 Likes,5
Horrible Life threatening vehicle,https://www.cardekho.com/jeep/compass/user-reviews/6,"I bought Jeep Compass one month back n now close to 2000 km drive . Yesterday I had horrible experience when driving in pune city . I was driving in city with my family n suddenly fire smoke started from front bonnet. My family scared n all side vehicle people started pointing me abt smoke. Some how I managed to park on side of the road , after 20-...Read More",9 Likes,1
Horrible ride,https://www.cardekho.com/jeep/compass/user-reviews/6,"Indian Jeep Compass disappoints. The local sourcing is the spoilsport . Unsettled ride . Wayward steering. Horrible tyres , stalls frequently in second gear . The rear sharply thuds on speed breakers. Unhealthy side to side movement. The designer will faint if he drives Indian Compass. Sub standard parts to blame. Horrible quality checks Read More",9 Likes,1
Arrogant Staff Will Sink Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/6,I am an Air Force Officer and was impressed by the Jeep 4X4 month offer and went to a dealer in Bangalore for enquiring about the same. I had carried my cheque book to book the vehicle in anticipation of an honest interaction with the sales personI first asked him about the CSD price list. He said that he doesn't have it. From the tone and tenour o...Read More,9 Likes,2
